央视频道,#genre#
CCTV-1,http://39.134.67.99/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.67.98/PLTV/88888888/224/3221225816/index.m3u8#http://ottrrs.hl.chinamobile.com/PLYT/88888888/224/3221226016/index.m3u8
CCTV-2,http://39.134.39.39/TVOD/88888888/224/3221226220/index.m3u8#http://39.135.138.8:6610/PLTV/88888888/224/3221225643/2/index.m3u8?fmt=ts2hls#http://223.110.243.206/PLTV/3/224/3221227696/index.m3u8?servicetype=1&icpid=88888888&from=1&hms_devid=323#http://39.134.67.99/PLTV/88888888/224/3221225820/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225820/index.m3u8#http://101.71.255.229:6610/zjhs/2/10089/index.m3u8?virtualDomain=zjhs.live_hls.zte.com 
CCTV-3,http://39.134.66.2/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.67.99/PLTV/88888888/224/3221225799/index.m3u8#http://ottrrs.hl.chinamobile.com/PLYT/88888888/224/3221226021/index.m3u8#http://101.71.255.229:6610/zjhs/2/10128/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-4,http://39.134.66.2/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225621/.m3u8#http://101.71.255.229:6610/zjhs/2/10090/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://101.71.255.229:6610/zjhs/2/10129/index.m3u8?virtualDomain=zjhs.live_hls.zte.com 
CCTV-5,http://39.134.39.37/PLTV/88888888/224/3221226253/index.m3u8#http://39.134.67.99/PLTV/88888888/224/3221225818/index.m3u8#http://101.71.255.229:6610/zjhs/2/10130/index.m3u8?virtualDomain=zjhs.live_hls.zte.com 
CCTV-6,http://39.134.66.2/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.67.99/PLTV/88888888/224/3221225814/index.m3u8#http://ottrrs.hl.chinamobile.com/PLYT/88888888/224/3221226010/index.m3u8#http://101.71.255.229:6610/zjhs/2/10131/index.m3u8?virtualDomain=zjhs.live_hls.zte.com 
CCTV-7,http://39.134.66.2/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.67.99/PLTV/88888888/224/3221225671/index.m3u8#http://101.71.255.229:6610/zjhs/2/10091/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://ottrrs.hl.chinamobile.com/PLYT/88888888/224/3221225733/index.m3u8 
CCTV-8,http://39.134.66.2/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.67.99/PLTV/88888888/224/3221225795/index.m3u8#http://101.71.255.229:6610/zjhs/2/10132/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://221.179.217.70/PLTV/88888888/224/3221226485/1.m3u8 
CCTV-9,http://39.134.66.2/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.67.99/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.67.98/PLTV/88888888/224/3221225676/index.m3u8#http://ottrrs.hl.chinamobile.com/PLYT/88888888/224/3221225734/index.m3u8 
CCTV-10,http://39.134.66.2/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.67.99/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.62.141:6610/PLTV/88888888/224/3221225730/index.m3u8?#http://101.71.255.229:6610/zjhs/2/10084/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://ottrrs.hl.chinamobile.com/PLYT/88888888/224/3221225730/index.m3u8 
